Index,Date,Type Code,Type Name,Type Shortname,Account,Amount,Amount Currency Full,Amount Currency,Account To,Amount To,Amount To Currency Full,Amount To Currency,Balance,Balance Currency Full,Balance Currency,Base Category,Sub Category,Full Category,Description,Agent,Check number,Class
135,1 Jul 2020 00:00:25,3,Income,TIN,Saving Account (ME),6231.13,Thai Baht,THB,,0,Unknown,UKN,1114437.19,Thai Baht,THB,Interest,,Interest,ดอกเบี้ยเงินฝาก,,,
136,1 Jul 2020 09:00:31,2,Expense,TEP,Primary (KBank),2390,Thai Baht,THB,,0,Unknown,UKN,86549.95,Thai Baht,THB,Gift,Birthday,Gift: Birthday,iPhone 11  Auto-generated transaction,Rungnapa,,
137,1 Jul 2020 10:00:13,2,Expense,TEP,Primary (KBank),1000,Thai Baht,THB,,0,Unknown,UKN,85549.95,Thai Baht,THB,Gift,Just for fun,Gift: Just for fun,For daily spending  Auto-generated transaction,,,Couple
138,1 Jul 2020 10:00:38,2,Expense,TEP,Primary (KBank),2000,Thai Baht,THB,,0,Unknown,UKN,83549.95,Thai Baht,THB,Gift,Just for fun,Gift: Just for fun,For travel together  Auto-generated transaction,,,Couple
139,3 Jul 2020 14:36:20,2,Expense,TEP,Wisdom (KBank),29,Thai Baht,THB,,0,Unknown,UKN,1008195.28,Thai Baht,THB,Digital Shopping,Game,Digital Shopping: Game,Pocket City,Apple,,
140,4 Jul 2020 14:41:13,2,Expense,TEP,Wallet,20,Thai Baht,THB,,0,Unknown,UKN,240,Thai Baht,THB,Food,Dinner,Food: Dinner,,MK,,Couple
141,5 Jul 2020 15:45:53,5,Money Transfer,TMT,Primary (KBank),700,Thai Baht,THB,Wallet,700,Thai Baht,THB,82849.95,Thai Baht,THB,,,,,,,
142,5 Jul 2020 16:14:53,2,Expense,TEP,Wallet,40,Thai Baht,THB,,0,Unknown,UKN,900,Thai Baht,THB,Food,Snacks,Food: Snacks,Crepe,,,
143,5 Jul 2020 17:27:22,2,Expense,TEP,Primary (KBank),2100,Thai Baht,THB,,0,Unknown,UKN,80749.95,Thai Baht,THB,Physical Shopping,Clothing,Physical Shopping: Clothing,Jean at hipster,Union Mall,,
144,7 Jul 2020 19:55:22,2,Expense,TEP,True wallet,65,Thai Baht,THB,,0,Unknown,UKN,4.5,Thai Baht,THB,Food,Dinner Food,Food: Dinner Food: Snacks,,7-11,,
145,8 Jul 2020 11:34:53,2,Expense,TEP,Primary (KBank),919.88,Thai Baht,THB,,0,Unknown,UKN,79830.07,Thai Baht,THB,Food,Groceries,Food: Groceries,Salmon,,,
146,9 Jul 2020 10:00:33,2,Expense,TEP,Wisdom (KBank),99,Thai Baht,THB,,0,Unknown,UKN,1008096.28,Thai Baht,THB,Digital Shopping,Services,Digital Shopping: Services,Apple iCloud storage  Auto-generated transaction,Apple,,
147,9 Jul 2020 10:42:00,3,Income,TIN,Primary (KBank),1000,Thai Baht,THB,,0,Unknown,UKN,80830.07,Thai Baht,THB,Reimbursement,,Reimbursement,Salmon,Rungnapa,,
148,12 Jul 2020 10:17:00,5,Money Transfer,TMT,Primary (KBank),100,Thai Baht,THB,Wallet,100,Thai Baht,THB,80730.07,Thai Baht,THB,,,,,,,
149,14 Jul 2020 14:06:27,2,Expense,TEP,Wisdom (KBank),74,Thai Baht,THB,,0,Unknown,UKN,1008022.28,Thai Baht,THB,Food,Lunch,Food: Lunch,,CentralWorldFood,,
150,14 Jul 2020 20:35:04,2,Expense,TEP,Primary (KBank),500,Thai Baht,THB,,0,Unknown,UKN,80230.07,Thai Baht,THB,Food,Dinner,Food: Dinner,น้อง google aholic,Natcha,,
151,14 Jul 2020 21:42:06,2,Expense,TEP,Wallet,280,Thai Baht,THB,,0,Unknown,UKN,720,Thai Baht,THB,Food,Snacks,Food: Snacks,น้อง googleaholic,Googleaholic,,
152,14 Jul 2020 21:49:43,3,Income,TIN,Primary (KBank),255,Thai Baht,THB,,0,Unknown,UKN,80485.07,Thai Baht,THB,Reimbursement,,Reimbursement,,,,
153,16 Jul 2020 07:38:48,2,Expense,TEP,Wisdom (KBank),9,Thai Baht,THB,,0,Unknown,UKN,1008013.28,Thai Baht,THB,Digital Shopping,Game,Digital Shopping: Game,,Apple,,
154,16 Jul 2020 07:38:59,2,Expense,TEP,Wisdom (KBank),29,Thai Baht,THB,,0,Unknown,UKN,1007984.28,Thai Baht,THB,Digital Shopping,Game,Digital Shopping: Game,,Apple,,
155,16 Jul 2020 15:41:25,2,Expense,TEP,Primary (KBank),600,Thai Baht,THB,,0,Unknown,UKN,79885.07,Thai Baht,THB,Food,Lunch,Food: Lunch,,BonChon,,
156,17 Jul 2020 19:00:13,5,Money Transfer,TMT,Primary (KBank),100,Thai Baht,THB,True wallet,100,Thai Baht,THB,79785.07,Thai Baht,THB,,,,,,,
157,17 Jul 2020 19:00:25,2,Expense,TEP,True wallet,13,Thai Baht,THB,,0,Unknown,UKN,91.5,Thai Baht,THB,Food,Dinner,Food: Dinner,,BluePay,,
158,20 Jul 2020 09:00:08,2,Expense,TEP,Wisdom (KBank),2690,Thai Baht,THB,,0,Unknown,UKN,1005294.28,Thai Baht,THB,Physical Shopping,Watch,Physical Shopping: Watch,Auto-generated transaction,,,
159,20 Jul 2020 09:00:14,2,Expense,TEP,Wisdom (KBank),2792.67,Thai Baht,THB,,0,Unknown,UKN,1002501.61,Thai Baht,THB,Physical Shopping,Mobile,Physical Shopping: Mobile,ค่า iPad,Natcha,,
160,20 Jul 2020 20:06:58,1,Opening Balance,TOB,Line Wallet,10,Thai Baht,THB,,0,Unknown,UKN,10,Thai Baht,THB,,,,,,,
161,20 Jul 2020 20:07:30,1,Opening Balance,TOB,BluePay Wallet,0,Thai Baht,THB,,0,Unknown,UKN,0,Thai Baht,THB,,,,,,,
162,20 Jul 2020 20:09:55,5,Money Transfer,TMT,Primary (KBank),1300,Thai Baht,THB,Line Wallet,1300,Thai Baht,THB,78485.07,Thai Baht,THB,,,,,,,
163,20 Jul 2020 20:10:44,2,Expense,TEP,Line Wallet,1080,Thai Baht,THB,,0,Unknown,UKN,230,Thai Baht,THB,Transportation,Train,Transportation: Train,,BTS,,
164,20 Jul 2020 20:11:37,5,Money Transfer,TMT,Primary (KBank),1165.78,Thai Baht,THB,BluePay Wallet,1165.78,Thai Baht,THB,77319.29,Thai Baht,THB,,,,,,,
165,20 Jul 2020 20:12:04,2,Expense,TEP,BluePay Wallet,855.78,Thai Baht,THB,,0,Unknown,UKN,310,Thai Baht,THB,Utilities,Phones,Utilities: Phones,,Dtac,,
166,21 Jul 2020 09:15:14,5,Money Transfer,TMT,Primary (KBank),3011.24,Thai Baht,THB,Lazada (CITI),3011.24,Thai Baht,THB,74308.05,Thai Baht,THB,,,,,,,
